Article_Id,Article_Title,Article_Abstract_Text,Article_Keywords,Article_Year,Article_Authors,Article_Url
"11598","  WPLYW WILGOTNOSCI GLEB NA ICH TERMIKE. PR. KOMIS. NAUK. PT GLEB.**1976 NR 1/17 S. 9-22, 3 RYS. BIBLIOGR. 10 POZ.// ","  ... ","    ","1976","  Piotr Kowalik   ","   "
"11599","  Stanowisko laboratoryjne do badań energetycznych wielosymptomowego zmeczenia wysokocyklowego materiałów konstrukcyjnych prostych układów mechanicznych ","  ... ","  BADANIA ENERGETYCZNE PROSTY UKŁAD MECHANICZNY ZMĘCZENIE WYSOKOCYKLOWE  ","2013","  Zbigniew Korczewski  Andrzej Kaczmarski   ","   "
"11600","  Fatigue resistance of laser welds - latest development ","  Zapewnienie bezpieczeństwa konstrukcji stalowych paneli typu sandwich wymaga analizy trwałości zmęczeniowej spoin łączących poszycia z usztywnieniami. Spoiny te charakteryzuje nietypowa geometria, a także własności materiałowe. W referacie prezentowane są najnowsze osiągnięcia w obszarze badań prowadzonych nad oceną trwałości zmęczeniowej spoin laserowych. ","  FATIGUE LASER WELDS SANDWICH SPOINY LASEROWE ZMĘCZENIE  ","2012","  Karol Niklas   ","  http://research.dnv.com/NMUnivDNV "
"11601","  BUDOWLE HYDROTECHNICZNE W WOJEWODZTWIE GDANSKIM. JANTAROWE SZLAKI**1974 NR 6S. 45-48, 2 RYS.// ","  ... ","    ","1974","  Wladyslaw Wedzinski   ","   "
"11602","  Aplikacja programu AutoCAD wspomagająca proces inwentaryzacji elementów zastosowanych w projekcie instalacji elektrycznej ","  W artykule opisano zagadnienia dotyczące zastosowania programu AutoCAD jako narzędzia wspomagającego proces inwentaryzacji elementów zastosowanych w projekcie instalacji elektrycznej. Do tego celu opracowano aplikację w środowisku programistycznym AutoLISP, integrowanym z programem AutoCAD. Opracowana aplikacja dokonuje analizy projektu instalacji elektrycznej, na podstawie której wyodrębniane są nazwy symboli (bloków) zastosowanych w projekcie oraz ich liczba. Wynikiem końcowym pracy  opracowanej aplikacji jest tabelka zawierająca spis wszystkich nazw, ich symboli graficznych i ich liczby występowania w projekcie. ","  INSTALACJE ELEKTRYCZNE KOMPUTEROWE WSPOMAGANIE PROJEKTOWANIA  ","2012","  Grzegorz Kostro   ","  http://www.innowrota.pl/sites/default/files/images/G.Kostro_1.pdf "
"11603","  Surgical implant used in ventral hernia repair subjected to physiological pressure - computer simulation ","  W streszczeniu przedstawiono matemayczny model implantu wszczepionego pacjentowi podczas laparoskopowej naprawy przepukliny brzusznej. Wykonano go z użyciem metody elementów skończonych. Przyjęto ortotropowy model materiałowy implantu. ","  BIOMECHANIKA MODELOWANIE MATEMATYCZNE PRZEPUKLINA BRZUSZNA  ","2012","  Izabela Lubowiecka  Agnieszka Tomaszewska  Czesław Szymczak   ","   "
"11604","  SRODLESNE POLA BIWAKOWE I PARKINGI NA POJEZIERZU KASZUBSKIM. JANTAROWE SZLAKI**1974 NR 9-10 S. 52-53 BIBLIOGR. 1 POZ.// ","  ... ","    ","1974","  Wladyslaw Wedzinski   ","   "
"11605","  A Survey of Ongoing Activities of Best Agers in latvia, Lithuania and Poland: The main Results and lessons from Germany ","  .. ","  AKTYWIZACJA ZAWODOWA DZIAŁANIA WSPIERAJĄCE AKTYWIZACJĘ ZAWODOWĄ OSÓB STARSZYCH STARZEJĄCE SIĘ SPOŁECZEŃSTWO  ","2012","  Katarzyna Tubielewicz  Arnis Sauka  Hartwig Wagemeister   ","   "
"11606","  Optymalizacja: sztuka czy rzemiosło? ","  W pracy przedstawiono  przyczyny  niewielkiego zainteresowania zastosowaniem optymalizacji w praktyce inżynierskiej oraz przykłady jej skutecznego zastosowania. Wyciągnięto wniosek, że  najskuteczniejszym sposobem spopularyzowania  tego narzędzia jest  tworzenie specjalistycznego oprogramowania wykorzystującego inżynierską wiedzę ekspercką. ","  OPTYMALIZACJA OPTYMALIZACJA INŻYNIERSKA POLIOPTYMALIZACJA  ","2012","  Szymon Grymek  Tomasz Kiczkowiak   ","   "
"11607","  PRZEGLAD DZIALALNOSCI NAUKOWO-BADAWCZEJ ZESPOLU 4 BUDOWNICTWA MORSKIEGO I GEOTECHNIKI. W: MATERIALY. SESJA NAUKOWA Z OKAZJI 35-LECIA POLITECHNIKI GDANSKIEJ. GDANSK, 29-30 WRZESNIA 1980. GDANSK: P. GDAN., INST. HYDROT.**1980 CZ.I REFERATY PODSUMOWUJACE S. 112-116.// ","  ... ","    ","1980","  Zdzislaw Przewlocki   ","   "
"11608","  Nieliniowa teoria i analiza deformacji i stateczności warstwowych powłok kompozytowych metodą elementów skończonych ","  W sprawozdaniu przedstawiono wyniki prac naukowo-badawczych powstałych w ramach projektu badawczego ''Nieliniowa teoria i analiza deformacji i stateczności warstwowych powłok kompozytowych metodą elementów skończonych'' N N506 254237 finansowanego przez Narodowe Centrum Nauki w latach 2009-2012.Wyniki badań  przedstawiono w 33 pracach: 2 monografiach (W. Witkowski 2011 i A. Sabik 2012), 1 rozprawie doktorskiej (A. Sabik 2012), 9 publikacjach w czołowych czasopismach międzynarodowych z listy filadelfijskiej (3 prace w Z. Angew. Math. Mech., 2 prace w International Journal of Solids and Structures, po jednej pracy w Applied Mathematical Modelling, Mechanics of Advanced Materials and Structures, Archives of Civil and Mechanical Engineering.  Opublikowano 5 prac w innych naukowych czasopismach recenzowanych oraz 4 prace w książkach. Przygotowano 8 streszczeń referatów konferencyjnych, 2 opracowania wewnętrzne oraz w znaczącym stopniu zaawansowano dwie rozprawy doktorskie. ","  MATERIAŁY KOMPOZYTOWE METODA ELEMENTÓW SKOŃCZONYCH POWŁOKI WARSTWOWE STATECZNOŚĆ  ","2012","  Jacek Chróścielwski  Wojciech Witkowski   ","   "
"11609","  architektura ","  Wystawa prac graficznych, rysunków i malarstwa obrazujacych rolę sztuk plastycznych w procesie kreowania form architektonicznych. Prezentacja autorskiej metod nauczania: Zapis-Interpretacja-transformacja oraz metody ideograficznej. ","  ARCHITEKTURA ARCHITEKTURA WSPÓŁCZESNA IDEOGRAM KOMPOZYCJA SZTUKA  ","2012","  Jacek Krenz   ","   "
"11610","  Układ urbanistyczny śródmieścia Gdyni ","  Redakcja całości ekspertyzy opracowanej przez następujących autorów: Robert Hirsch, Lewicki Jakub, Maria J. Sołtysik. Tematem ekspertyzy jest układ urbanistyczny śródmieścia Gdyni wpisany do rejestru zabytków w 2007 r. ","  GDYNIA KONSERWACJA ZABYTKÓW MODERNIZM OCHRONA ZABYTKÓW ZABYTKI  ","2012","  Robert Hirsch   ","   "
"11611","  Czysta teoria prawa Hansa Kelsena a szkoła marburska ","  Celem artykułu jest przdstawienie czystej teorii prawa Hansa Kelsena jako jednego z teoretycznych dokonań przeprowadzonych według metody szkoły marburskiej - dokonania w stosunku do pozycji teoretycznych szkoły oryginalnego i samodzielnego. Tekst pokazuje autonomię prawa w ujęciu Kelsena, jego niezależność od wszelkich socjologicznych, etycznych i innych źródeł : prawo ma swoje źródło w samym, odsłania normatywny charakter prawa jako rzeczywistości pozaempirycznej. ","  FILOZOFIA TRANSCENDENTALNA, FILOZOFIA PRAWA, CZYSTA FILOZOFIA PRAWA KELSEN, SZKOŁA MARBURSKA, NEOKANTYZM,  ","2013","  Andrzej Lisak   ","   "
"11612","  ANALIZA UKLADU: KONSTRUKCJA WSPORCZA-GRUNT, OBCIAZONEGO SILAMI DYNAMICZNYMI. W: MATERIALY. SESJA NAUKOWA Z OKAZJI 35-LECIA POLITECHNIKI GDANSKIEJ. GDANSK, 29-30 WRZESNIA 1980. GDANSK: P. GDAN., INST. HYDROT.**1980 CZ. II REFERATY NAUKOWE T. 1 S. 104-115, 5 RYS. BIBLIOGR. 16 POZ.// ","  ... ","    ","1980","  Włodzimierz Cichy   ","   "
"11613","  Metody analizy obiektowej w badanich środowiska morskiego ","  Monografia przedstawia metody klasyfikacji obrazów opierające się na analizie obiektowej. Autorzy prezentują wyniki eksperymentu dające podstawy do oceny analizy obiektowej jako konkurencyjne do klasyfikacji prowadzonej przez człowieka metodami manualnymi. ","  GEODEZJA MORSKA GEOMATYKA SYSTEMY INFORMACJI PRZESTRZENNEJ TELEDETEKCJA  ","2012","  Katarzyna Mokwa  Marek Przyborski  Jerzy Pyrchla   ","  http://www.geomatyka.eu/publikacje/isbn9788393001071/isbn9788393001071.pdf "
"11614","  Ocena zużycia ściernego materiałów stosowanych na węzły tarcia ślizgowego w endoprotezach stawu biodrowego ","  Autorzy zaprezentowali ocenę zużycia ściernego wybranych materiałów przeznaczonych na węzły tarcia ślizgowego w endoprotezach stawu biodrowego w oparciu o zaproponowane metody. ","  ENDOPROTEZY STOPY TYTANU ZUŻYCIE ŚCIERNE  ","2012","  Tomasz Seramak  Katarzyna Zasińska  Beata Majkowska-Marzec   ","   "
"11615","  Metody analizy obiektowej w badanich środowiska morskiego ","  Monografia przedstawia metody klasyfikacji obrazów opierające się na analizie obiektowej. Autorzy prezentują wyniki eksperymentu dające podstawy do oceny analizy obiektowej jako konkurencyjne do klasyfikacji prowadzonej przez człowieka metodami manualnymi. Autorzy: Katarzyna Mokwa, Marek Przyborski, Jerzy Pyrchla. Redaktor serii: Jakub Szulwic ","  GEODEZJA MORSKA GEOMATYKA SYSTEMY INFORMACJI PRZESTRZENNEJ TELEDETEKCJA  ","2012","  Jakub Szulwic   ","  http://www.geomatyka.eu/publikacje/isbn9788393001071/isbn9788393001071.pdf "
"11616","  A note on resistive models of switched-capacitor dc-dc converters: Unified incremental-graph-based formulas given ","  Praca przedstawia model rezystancyjny konwertera dc-dc z przełączanymi pojemnościami, uzyskany z użyciem metody grafu przyrostowego, wprowadzonej do literatury we wcześniejszych pracach autora. Podane zostały formuły na zastępcze rezystancje wyjściowe układu w trybach pracy z tzw. wolnym przełączaniem (ang. SSL) oraz szybkim przełączaniem (ang. FSL). Wprowadzono - jako nowość - wzór na wynikową rezystancję w pośrednim modzie pracy, z zastosowaniem specjalnej metryki, jako sumowanie Minkowskiego. Pracę ilustrują i wyniki potwierdzają symulacje w programie Pspice (MicroCap). ","  GRAF PRZYROSTOWY KONWERTERY DC-DC METRYKA MINKOWSKIEGO MODEL REZYSTANCYJNY UKŁADY C-PRZEŁĄCZANE  ","2012","  Marek Makowski   ","  http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6382221&contentType=Conference+Publications&searchField%3DSearch_All%26queryText%3Dmakowski%2C+A+Note "
"11617","  SYSTEMY PROGNOZ HYDROLOGICZNYCH W POLSCE WYKORZYSTUJACE TECHNIKI SYMULACYJNE. WIAD. IMIGW**1978 T. 4 Z. 2-3 S. 18, 8 RYS. BIBLIOGR. 3 POZ.// ","  ... ","    ","1978","  Eugeniusz Bobinski  Teofil Piwecki  Janusz Zelazinski   ","   "
"11618","  Propozycja wykorzystania intensywności do wspomagania przetwarzania oryginalnej i zoptymalizowanej chmury punktów ALS ","  Skaning lotniczy i przetwarzanie wyników - optymalizacja i klasyfikacja danych. ","  GEODEZJA SKANING LASEROWY  ","2012","  Wioleta Błaszczak-Bąk  Anna Sobieraj-Żłobińska   ","   "
"11619","  The Use of Mobile Devices in the Care and Home Monitoring of the Elderly and the Sick ","  ... ","  ASSISTED LIVING HOME CARE MOBILE DEVICES  ","2012","  Mariusz Kaczmarek  Jędrzej Nowak  Jacek Rumiński  Jerzy Wtorek  Tomasz Kocejko   ","  http://link.springer.com/chapter/10.1007/978-3-642-31196-3_53 "
"11620","  PRZEGLAD DZIALALNOSCI NAUKOWO-BADAWCZEJ ZESPOLU SYSTEMOW WODNO-GOSPODARCZYCH. W: MATERIALY. SESJA NAUKOWA Z OKAZJI 35-LECIA POLITECHNIKI GDANSKIEJ. GDANSK, 29-30 WRZESNIA 1980. GDANSK: P. GDAN., INST. HYDROT.**1980 CZ. I REFERATY PODSUMOWUJACE S. 66-69 BIBLIOGR. 1 POZ.// ","  ... ","    ","1980","  Piotr Kowalik   ","   "
"11621","  M-Split Estimation in Laser Scanning Data Modeling ","  Publikacja traktuje o wykorzystaniu estymacji M-Split do modelowania danych pozyskanych w wyniku skaningu laserowego. Autorzy prezentują rozwiązanie w oparciu o detekcję krawędzi dwóch płaszczyzn. ","  DETEKCJA KRAWĘDZI GEODEZJA M-SPLIT SKANING LASEROWY  ","2013","  Artur Janowski  Jacek Rapiński   ","  http://link.springer.com/article/10.1007/s12524-012-0213-8 "
"11622","  Przemieszczenia podpór mostowych na fundamentach osłoniętych ścianką szczelną ","  Przedstawiono problem pozostawiania osłony ze ścianki szczelnej wokół fundamentów przyczółków i nieuwzględniania ich obecności wokół pali w projektowaniu nośności fundamentów. Zwrócono uwagę na prawdopodobny pozytywny wpływ osłony na nośność fundamentów podpór mostowych oraz na zmniejszenie osiadań konstrukcji. ","  PODPORY MOSTOWE PRZEMIESZCZENIA PODPÓR ŚCIANKI SZCZELNE  ","2012","  Zygmunt Kurałowicz  Michał Wymysłowski   ","   "
"11623","  Opinia techniczna do oceny rozwiązań projektowych dotyczących ściany szczytowej zachodniej facjaty ratusza w Lubsku ","  Opracowanie dotyczy analizy stateczności murowanej ściany szczytowej zabytkowego ratusza w Lubsku wraz z propozycją jej kotwienia. ","  STATECZNOŚĆ ŚCIAN  ","2012","  Antoni Kapuściński   ","   "
"11624","  Klasteryzacja artykułów do organizowania rezultatów wyszukiwania w Wikipiedii ","  W artykule przedstawiono wykorzystanie metod nienadzorowanego uczeniamaszynowego do poprawy szybkości przeglądania rezultatów zwracanych przez wyszukiwarkę tekstów. Opisano metodę reprezentacji artykułów  Wikipedii z wykorzystaniem  lączenia w kategorie referencji. Przeprowadzono dyskusje֒ użycia algorytmu klasteryzacji opartego na analizie gęstości  do grupowania tekstów. Przedstawiono prototypową implementacje systemu. ","  AUTOMATYCZNA KATEGORYZACJA CLUSTERING GRUPOWANIE TEKSTÓW REPREZENTACJA TEKSTU WYSZUKIWANIE INFORMACJI  ","2013","  Julian Szymański   ","   "
"11625","  PRZKLAD  ZASTOSOWANIA  METODY ANALOGII  ELEKTRYCZNEJ  DO  BADANIA FILTRACJI PRZEZ GLEBE ZIEMNA. ROZPR. HYDROT.**1958 Z. 4 S. 3-13.// ","  ... ","    ","1958","  Teofil Piwecki  D. Jasieński   ","   "
"11626","  Projekt stanowisk badawczych siłowni kogeneracyjnych i wirującej tarczy ","  Projekt budowlany ","  ARCHITEKTURA PRZEMYSŁOWA  ","2012","  Agnieszka Błażko   ","   "
"11627","  Projekt fundamentów pod urządzenia siłowni kogeneracyjnych ","  Projekt wykonawczy ","  ARCHITEKTURA PRZEMYSŁOWA  ","2011","  Agnieszka Błażko   ","   "
"11628","  Budynek mieszkalny wielorodzinny ","  Projekt budowlany zamienny ","  ARCHITEKTURA MIESZKANIOWA  ","2012","  Agnieszka Błażko   ","   "
"11629","  Projekt zamienny do projektu zmiana funkcji domu mieszkalnego z funkcją agroturystyczną na funkcję hotelową ","  Projekt budowlany ","  ARCHITEKTURA HOTELOWA  ","2012","  Agnieszka Błażko   ","   "
"11630","  Projekt zamienny - zmiana funkcji domu mieszkalnego z funkcją agroturystyczną na funkcję hotelową ","  Projekt budowlany ","  ARCHITEKTURA HOTELOWA  ","2010","  Agnieszka Błażko   ","   "
"11631","  Budynek mieszkalny jednorodzinny ","  Projekt budowlany ","  ARCHITEKTURA MIESZKANIOWA  ","2009","  Agnieszka Błażko   ","   "
"11632","  Projekt remontu hali ''A'' Instytut Maszyn Przepływowych PAN ","  Projekt wykonawczy ","  ARCHITEKTURA PRZEMYSŁOWA  ","2012","  Agnieszka Błażko   ","   "
"11633","  Areszt śledczy w Starogardzie GdańskimRozbudowa budynku penitencjarnego o pomieszczenia ambulatorium ","  Projekt architektoniczno - budowlany. ","  ARCHITEKTURA PENITENCJARNA ARCHITEKTURA SŁUZBY ZDROWIA  ","2010","  Agnieszka Błażko   ","   "
"11634","  MODEL MATEMATYCZNY RUCHU WODY W SYSTEMIE KORYT OTWARTYCH. W: [MATERIALY] SESJA NAUKOWA INSTYTUTU BUDOWNICTWA LADOWEGO POLITECHNIKI GDANSKIEJ. GDANSK, LUTY 1971. GDANSK: P. GDAN.**1971 S. 14-27.// ","  ... ","    ","1971","  Teofil Piwecki   ","   "
"11635","  Przebudowa i rozbudowa budynku Instytutu Pamięci Narodowej ze zmiana funkcji z produkcyjnej na administracyjno-magazynową ","  Projekt architektoniczno-budowlany ","  ARCHITEKTURA UŻYTECZNOŚCI PUBLICZNEJ  ","2010","  Agnieszka Błażko   ","   "
"11636","  Przebudowa i rozbudowa budynku Instytutu Pamieci Narodowej - Komisja Scigania Zbrodni przeciwko Narodowi Polskiemu ze zmianą funkcji z produlcji na administracyjno-magazynową. ","  Projekt architektoniczno-budowlany ","  ARCHITEKTURA MIESZKANIOWA  ","2010","  Agnieszka Błażko   ","   "
"11637","  Multi parameter sliding test result evaluation for the selection of material pair for wear resistant components of a hydraulic motor dedicated for use with environmentally friendly working fluids ","  W referacie przedstawiono zastosowanie metody badań tribologicznych pozwalającej na dokonywanie doboru najlepszych skojarzeń tribologicznych z wybranej populacji poprzez parametryczną ocenę wyników z wielu rodzajów testów tribologicznych wykonywanych na identycznych skojarzeniach materiał - smar - materiał. ","  EKSPERYMENT TRIBOLOGICZNY METODA PORÓWNAWCZA ZUŻYCIE TRIBOLOGICZNE  ","2012","  Jacek Łubiński  Paweł Śliwiński   ","   "
"11638","  Modernizacje i remonty elektrowni wodnych na rzece Gwda ","  Specyficzne warunki środowiskowe budowli hydrotechnicznych powodują ich szybsze starzenie się w porównaniu do innych obiektów budowlanych. Wynika z tego konieczność przeprowadzania systematycznych remontów w celu zapewnienia odpowiedniego stanu technicznego i stopnia bezpieczeństwa budowli piętrzących. W artykule przedstawiono zwięzły opis modernizacji budowli hydrotechnicznych na rz. Gwda przeprowadzonych w ostatnich latach. Pokazano stan budowli przed remontem, występujące uszkodzenia konstrukcji, przyjętą technologię naprawy oraz  budowle po przeprowadzeniu remontu. ","  ELEKTROWNIE WODNE ENERGETYKA ODNAWIALNA MAŁE ELEKTROWNIE WODNE  ","2012","  Wojciech Szudek  Witold Sterpejkowicz-Wersocki   ","   "
"11639","  Wyznaczanie parametrów geometrycznych słupów kratownicowych linii wysokiego napięcia. ","  W artykule opisano wykorzystanie skaningu laserowego jako alternatywnej metody do wyznaczenia geometrycznych parametrów elementów konstrukcyjnych: drewnianych i stalowych. Jest to punkt wyjściowy do dalszych badań na stalowych konstrukcjach wsporczych słupów wysokiego napięcia. ","  KONSTRUKCJA STALOWA SKANING LASEROWY  ","2010","  Grzegorz Graff  Jerzy Jezierski  Krause Karolina  Krzysztof Matyjasik  Paweł Kowalewski   ","   "
"11640","  Wybrane problemy geotechniczne wykonawstwa infrastruktury podziemnej ","  Stosowanie nowych rozwiązań i technik posadowień obiektów infrastruktury komunalnej, wykonawstwo rurociągów metodami bezwykopowymi, nowe technologie wykonawstwa robót fundamentowych i ziemnych, bardzo często na terenach o niekorzystnych warunkach geotechnicznych oraz problemy oddziaływań środowiskowych i wpływu różnego rodzaju zanieczyszczeń na parametry ośrodka gruntowego wytyczają kierunki rozwoju eksperymentalnej geotechniki stosowanej przy posadowieniu obiektów infrastruktury komunalnej ","  BADANIA GEOTECHNICZNE INFRASTRUKTURA PODZIEMNA  ","2012","  Remigiusz Duszyński  Adam Bolt   ","   "
"11641","  WATER CUBE - inżynieryjna metafora wody ","  Artykuł prezentuje innowacyjne rozwiązania w inteligentnym obiekcie pływalni olimpijskiej w Pekinie. ","  ARCHITEKTURA OBIEKTÓW SPORTOWYCH BUDYNEK INTELIGENTNY  ","2009","  Karolina Życzkowska   ","   "
"11642","  Budynek hotelu z wbudowaną kotłownią ","  Projekt budowlany ","  ARCHITEKTURA HOTELOWA  ","2012","  Agnieszka Błażko   ","   "
"11643","  Remont i przebudowa budynku ''E'' Sądu Rejonowego w Sopocie ","  Projekt budowlany ","  ARCHITEKTURA UZYTECZNOSCI PUBLICZNEJ  ","2011","  Agnieszka Błażko   ","   "
"11644","  Budynek mieszkalny jednorodzinny ","  Projekt budowlany ","  ARCHITEKTURA MIESZKANIOWA  ","2009","  Agnieszka Błażko   ","   "
"11645","  Budynek mieszkalny jednorodzinny z podziemnym zbiornikiem na ścieki sanitarne ","  Projekt budowlany ","  ARCHITEKTURA MIESZKANIOWA  ","2009","  Agnieszka Błażko   ","   "
"11646","  Projekt budowlany remont elewacji oraz docieplenie scian zewnętrznych i stropodachu ","  Projekt budowlany ","  ARCHITEKTURA  ","2009","  Agnieszka Błażko   ","   "
"11647","  Remont klatki schodowej Ministerstwo Sprawiedliwości ","  Projekt wykonawczy ","  ARCHITEKTURA UŻYTECZNOŚCI PUBLICZNEJ  ","2011","  Agnieszka Błażko   ","   "
"11648","  Ausencias ","  15 obrazów z cyklu Ausencias (Nieobecności) prezentowane na międzynarodowej wystawie zbiorowa malarstwa, rzeźby i fotografii. ","  MALARSTWO SZTUKA WSPÓŁCZESNA WYSTAWA  ","2013","  Jacek Krenz   ","   "
"11649","  Abandoned places I-V, akryl 100x70 ","  Międzynarodowa wystawa zbiorowa malarstwa, fotografii i tkaniny, zorganizowana pod egidą Ambasad: Brazylii, Bułgarii, Łotwy, Mozambiku, Meksyku, Panamy, Polski i Południowej Afryki. ","  MALARSTWO SZTUKA SZTUKA WSPÓŁCZESNA WYSTAWA  ","2010","  Jacek Krenz   ","   "
"11650","  Patent PL 213599 : Sposób otrzymywania kwasu [1-hydroksy-2-(1H-imidazol-1-ilo)-etylideno]bisfosfonowego ","  patent opisuje sposób otrzymywania kwasu [1-hydroksy-2-(1H-imidazol-1-ilo)-etylideno]bisfosfonowego ","  BISFOSFONIANY OSTEOPOROZA  ","2012","  Daniel Żyła  Robert Rynkiewicz  Mariusz Krzyżanowski  Leszek Dembkowski  Zdzisław Roznerski  Roman Szramka  Janusz Rachoń  Sławomir Makowiec   ","   "
"11651","  OKRESLENIE PRZYCZYN GLOSNEJ PRACY LOZYSK TOCZNYCH SCENY OBROTOWEJ TEATRU W GDANSKU**1967, 6 S. 2 RYS. MASZYN.// ","  ... ","    ","1967","  Ryszard Maciakowski  Zbigniew Kozakiewicz   ","   "
"11652","  Akwarela- pasje i namiętności ","  Monografia dwujęzyczna: w języku polskim i angielskim przedstawiająca twórczość akwarelistów, członków założycieli nowo powstałego Stowarzyszenie Akwarelistów Polskich. ","  MALARSTWO MALARSTWO AKWRELOWE SZTUKA WSPÓŁCZESNA  ","2013","  Jacek Krenz   ","   "
"11653","  Współpraca organizacyjna Międzynarodowego Kongresu Architektury ARCHITEKTURA I WODA ","  W dniach 29 kwietnia - 1 maja 2012 r. w Calvi na Korsyce, odbyła się międzynarodowa konferencja  Architektura i woda  zorganizowana przez Stowarzyszenie Architektów Polskich we Francji we wpółpracy z Wydziałem Architektury Politechniki Gdańskiej. Celem konferencji było przedstawienie problematyki związanej z różnymi aspektami wykorzystania obecności wody w kształtowaniu obiektów architektonicznych oraz struktur miejskich.  Dzięki wystąpieniom przedstawicieli różnych dziedzin możliwe było szerokie spojrzenie na omawiane zagadnienia oraz nakreślenie możliwości przekształceń miejskich terenów nadwodnych. ","  ARCHITEKTURA I WODA  ","2012","  Janusz Gujski  Izabela Maria Burda   ","   "
"11654","  Organizacja wystawy projektów GALERII PŁYWAJĄCEJ, towarzyszącej obradom Międzynarodowego Kongresu Architektury ARCHITEKTURA I WODA ","  Wystawa jest prezentacją projektów GALERII PŁYWAJĄCEJ przemieszczającej się po drogach wodnych Gdańska, wykonanych przez studentów Wydziału Architektury PG w ramach  w ramach przedmiotu ''Przeobrażenia stref nadwodnych miast i zagadnienia architektury pływającej'', prowadzonego przez profesor architekt Lucynę Nyka oraz  doktorantkę Wydziału Architektury PG architekt Izabelę Burda. ","  ARCHITEKTURA I WODA GALERIA PŁYWAJĄCA  ","2012","  Janusz Gujski  Izabela Maria Burda   ","   "
